,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,fc_mc,boundary_diff
104,1.0,2,7,98.0,1.0,7,0.048401378107699566,barmaid,postHC,PMN,,0.9285714285714286,2.0,sub-108,offset,-0.09940839686973926,-0.45215658843517303
105,0.0,2,8,31.0,1.0,8,0.21804026017514155,barmaid,postHC,PMN,,0.9285714285714286,3.0,sub-108,offset,0.07023048519770272,-0.28714367747306824
106,0.0,2,9,36.0,0.0,9,0.5146801381001007,barmaid,postHC,PMN,,0.9285714285714286,0.0,sub-108,offset,0.36687036312266186,-0.029710762202739716
107,0.0,2,10,55.0,1.0,10,0.18949076417883762,barmaid,postHC,PMN,,0.9285714285714286,4.0,sub-108,offset,0.04168098920139879,2.1957719922065735
108,1.5,2,11,63.0,1.0,11,0.21427938494948875,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,0.06646960997204993,-0.3304283320903778
109,1.5,2,12,63.0,1.0,12,0.09800526266161091,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,-0.049804512315827915,-2.0980655550956726
110,1.5,2,13,81.0,1.0,13,-0.18503841026960263,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,-0.33284818524704146,2.0562335699796677
111,3.5,2,14,111.0,1.0,14,0.32857132391468696,barmaid,postHC,PMN,,0.9285714285714286,4.0,sub-108,offset,0.18076154893724813,3.4849066138267517
112,9.0,0,1,48.0,1.0,1,-0.10972086792313085,barmaid,postHC,PMN,,0.7857142857142857,5.5,sub-109,offset,-0.22848125235153116,1.0647236108779907
113,0.0,0,2,32.0,1.0,2,0.11713465155113295,barmaid,postHC,PMN,,0.7857142857142857,5.0,sub-109,offset,-0.0016257328772673746,0.5353898704051971
114,0.5,0,3,51.0,1.0,3,0.16054868227488836,barmaid,postHC,PMN,,0.7857142857142857,6.0,sub-109,offset,0.041788297846488034,-0.2495827004313469
115,2.0,0,4,24.0,1.0,4,0.3046961953651092,barmaid,postHC,PMN,,0.7857142857142857,8.5,sub-109,offset,0.1859358109367089,0.7753273821435869
116,1.5,0,5,91.0,1.0,5,0.3639631707137985,barmaid,postHC,PMN,,0.7857142857142857,4.5,sub-109,offset,0.2452027862853982,-0.32138822972774506
117,2.5,0,6,41.0,1.0,6,0.2717242392825841,barmaid,postHC,PMN,,0.7857142857142857,9.0,sub-109,offset,0.1529638548541838,0.2536970991641283
118,1.5,0,7,98.0,1.0,7,0.1250795555969698,barmaid,postHC,PMN,,0.7857142857142857,3.0,sub-109,offset,0.006319171168569462,1.0176564902067184
119,0.0,0,8,31.0,1.0,8,0.1547685529695181,barmaid,postHC,PMN,,0.7857142857142857,7.0,sub-109,offset,0.03600816854111778,0.769011989235878
120,0.0,0,9,36.0,1.0,9,0.2727613178098008,barmaid,postHC,PMN,,0.7857142857142857,12.5,sub-109,offset,0.15400093338140047,-1.0386133715510368
121,0.0,0,10,55.0,0.0,10,0.1312197169088825,barmaid,postHC,PMN,,0.7857142857142857,0.0,sub-109,offset,0.012459332480482185,0.8522065281867981
122,4.0,0,11,63.0,1.0,11,-0.06178900451683613,barmaid,postHC,PMN,,0.7857142857142857,10.5,sub-109,offset,-0.18054938894523645,0.6575726047158241
123,0.0,0,12,63.0,0.0,12,0.5061356638760809,barmaid,postHC,PMN,,0.7857142857142857,0.0,sub-109,offset,0.3873752794476806,-0.48084117472171783
124,0.0,0,13,81.0,0.0,13,-0.15701977723313984,barmaid,postHC,PMN,,0.7857142857142857,0.0,sub-109,offset,-0.2757801616615402,0.8023614138364792
125,5.5,0,14,111.0,1.0,14,-0.10019990446140035,barmaid,postHC,PMN,,0.7857142857142857,17.5,sub-109,offset,-0.21896028888980068,0.15076345205307007
126,3.5,2,1,48.0,1.0,1,0.35647491322360564,barmaid,postHC,PMN,,0.5,5.5,sub-111,offset,0.29911982880478116,-0.10800907015800476
