,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,boundary_diff,total_details,total_details_log,peri_d_log,fc_mc
109,1.5,2,12,63.0,1.0,12,0.09800526266161091,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,-2.0980655550956726,5.0,1.6094379124341003,1.252762968495368,-0.04999377188901724
110,1.5,2,13,81.0,1.0,13,-0.18503841026960263,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,2.0562335699796677,5.0,1.6094379124341003,1.252762968495368,-0.3330374448202308
111,3.5,2,14,111.0,1.0,14,0.32857132391468696,barmaid,postHC,PMN,,0.9285714285714286,4.0,sub-108,offset,3.4849066138267517,7.5,2.0149030205422647,1.3862943611198906,0.1805722893640588
112,9.0,0,1,48.0,1.0,1,-0.10972086792313085,barmaid,postHC,PMN,,0.7857142857142857,5.5,sub-109,offset,1.0647236108779907,14.5,2.6741486494265287,1.7047480922384253,-0.21819038067365942
113,0.0,0,2,32.0,1.0,2,0.11713465155113295,barmaid,postHC,PMN,,0.7857142857142857,5.0,sub-109,offset,0.5353898704051971,5.0,1.6094379124341003,1.6094379124341003,0.008665138800604377
114,0.5,0,3,51.0,1.0,3,0.16054868227488836,barmaid,postHC,PMN,,0.7857142857142857,6.0,sub-109,offset,-0.2495827004313469,6.5,1.8718021769015913,1.791759469228055,0.052079169524359786
115,2.0,0,4,24.0,1.0,4,0.3046961953651092,barmaid,postHC,PMN,,0.7857142857142857,8.5,sub-109,offset,0.7753273821435869,10.5,2.3513752571634776,2.1400661634962708,0.19622668261458065
116,1.5,0,5,91.0,1.0,5,0.3639631707137985,barmaid,postHC,PMN,,0.7857142857142857,4.5,sub-109,offset,-0.32138822972774506,6.0,1.791759469228055,1.5040773967762742,0.25549365796326995
117,2.5,0,6,41.0,1.0,6,0.2717242392825841,barmaid,postHC,PMN,,0.7857142857142857,9.0,sub-109,offset,0.2536970991641283,11.5,2.4423470353692043,2.1972245773362196,0.16325472653205553
118,1.5,0,7,98.0,1.0,7,0.1250795555969698,barmaid,postHC,PMN,,0.7857142857142857,3.0,sub-109,offset,1.0176564902067184,4.5,1.5040773967762742,1.0986122886681098,0.016610042846441214
119,0.0,0,8,31.0,1.0,8,0.1547685529695181,barmaid,postHC,PMN,,0.7857142857142857,7.0,sub-109,offset,0.769011989235878,7.0,1.9459101490553132,1.9459101490553132,0.046299040218989534
120,0.0,0,9,36.0,1.0,9,0.2727613178098008,barmaid,postHC,PMN,,0.7857142857142857,12.5,sub-109,offset,-1.0386133715510368,12.5,2.5257286443082556,2.5257286443082556,0.1642918050592722
122,4.0,0,11,63.0,1.0,11,-0.06178900451683613,barmaid,postHC,PMN,,0.7857142857142857,10.5,sub-109,offset,0.6575726047158241,14.5,2.6741486494265287,2.3513752571634776,-0.1702585172673647
125,5.5,0,14,111.0,1.0,14,-0.10019990446140035,barmaid,postHC,PMN,,0.7857142857142857,17.5,sub-109,offset,0.15076345205307007,23.0,3.1354942159291497,2.8622008809294686,-0.20866941721192894
126,3.5,2,1,48.0,1.0,1,0.35647491322360564,barmaid,postHC,PMN,,0.5,5.5,sub-111,offset,-0.10800907015800476,9.0,2.1972245773362196,1.7047480922384253,0.2965209008054954
127,2.5,2,2,32.0,1.0,2,0.06050855075928956,barmaid,postHC,PMN,,0.5,4.5,sub-111,offset,1.5718878507614136,7.0,1.9459101490553132,1.5040773967762742,0.0005545383411793628
131,1.5,2,6,41.0,1.0,6,0.2775736224078376,barmaid,postHC,PMN,,0.5,4.0,sub-111,offset,0.6663326546549797,5.5,1.7047480922384253,1.3862943611198906,0.2176196099897274
132,1.0,2,7,98.0,1.0,7,-0.9175494851411692,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,1.3745099157094955,1.0,0.0,-inf,-0.9775034975592793
133,0.0,2,8,31.0,1.0,8,0.375110126690322,barmaid,postHC,PMN,,0.5,2.5,sub-111,offset,0.6146024093031883,2.5,0.9162907318741551,0.9162907318741551,0.3151561142722118
136,4.0,2,11,63.0,1.0,11,-0.1233614547110455,barmaid,postHC,PMN,,0.5,1.5,sub-111,offset,-0.24821388069540262,5.5,1.7047480922384253,0.4054651081081644,-0.1833154671291557
139,3.0,2,14,111.0,1.0,14,-0.7121589405539265,barmaid,postHC,PMN,,0.5,1.5,sub-111,offset,0.7605147212743759,4.5,1.5040773967762742,0.4054651081081644,-0.7721129529720366
140,7.5,0,1,48.0,1.0,1,-0.10020920596517228,barmaid,postHC,PMN,,0.6428571428571429,2.5,sub-112,offset,-0.6160472929477692,10.0,2.302585092994046,0.9162907318741551,-0.13047922261993863
142,0.0,0,3,51.0,1.0,3,0.46043680442261853,barmaid,postHC,PMN,,0.6428571428571429,2.5,sub-112,offset,-0.3782942146062851,2.5,0.9162907318741551,0.9162907318741551,0.43016678776785217
144,2.0,0,5,91.0,1.0,5,-0.18422721305887066,barmaid,postHC,PMN,,0.6428571428571429,6.5,sub-112,offset,0.630349482409656,8.5,2.1400661634962708,1.8718021769015913,-0.214497229713637
146,1.5,0,7,98.0,1.0,7,-0.029987662950619543,barmaid,postHC,PMN,,0.6428571428571429,5.0,sub-112,offset,0.058359794318675995,6.5,1.8718021769015913,1.6094379124341003,-0.06025767960538589
147,1.5,0,8,31.0,1.0,8,0.5528719529336773,barmaid,postHC,PMN,,0.6428571428571429,4.0,sub-112,offset,0.08474780060350895,5.5,1.7047480922384253,1.3862943611198906,0.5226019362789109
149,0.0,0,10,55.0,1.0,10,-0.4990750021931451,barmaid,postHC,PMN,,0.6428571428571429,8.0,sub-112,offset,1.6264255940914154,8.0,2.0794415416798357,2.0794415416798357,-0.5293450188479114
150,1.0,0,11,63.0,1.0,11,0.19847674819347214,barmaid,postHC,PMN,,0.6428571428571429,1.0,sub-112,offset,-2.589514970779419,2.0,0.6931471805599453,0.0,0.1682067315387058
152,1.0,0,13,81.0,1.0,13,0.39088600404249013,barmaid,postHC,PMN,,0.6428571428571429,0.0,sub-112,offset,-0.5282395482063293,1.0,0.0,-inf,0.36061598738772377
153,4.0,0,14,111.0,1.0,14,0.3990332718157297,barmaid,postHC,PMN,,0.6428571428571429,8.0,sub-112,offset,1.1465506553649902,12.0,2.4849066497880004,2.0794415416798357,0.3687632551609633
154,9.5,2,1,48.0,1.0,1,0.042784653200484635,barmaid,postHC,PMN,,0.7142857142857143,30.5,sub-115,offset,0.5508432015776634,40.0,3.6888794541139363,3.417726683613366,-0.25067070456821827
155,0.0,2,2,32.0,1.0,2,0.21468053367863726,barmaid,postHC,PMN,,0.7142857142857143,3.5,sub-115,offset,-0.7886941805481911,3.5,1.252762968495368,1.252762968495368,-0.07877482409006564
157,1.0,2,4,24.0,1.0,4,0.016873222997942316,barmaid,postHC,PMN,,0.7142857142857143,2.5,sub-115,offset,0.5229471251368523,3.5,1.252762968495368,0.9162907318741551,-0.2765821347707606
160,1.5,2,7,98.0,1.0,7,0.10113772504417227,barmaid,postHC,PMN,,0.7142857142857143,2.5,sub-115,offset,-0.2980385775445029,4.0,1.3862943611198906,0.9162907318741551,-0.19231763272453062
161,0.0,2,8,31.0,1.0,8,0.39374910847492073,barmaid,postHC,PMN,,0.7142857142857143,4.0,sub-115,offset,-0.835940033197403,4.0,1.3862943611198906,1.3862943611198906,0.10029375070621782
162,0.0,2,9,36.0,1.0,9,0.34463825044358404,barmaid,postHC,PMN,,0.7142857142857143,8.5,sub-115,offset,-0.4170498810708523,8.5,2.1400661634962708,2.1400661634962708,0.05118289267488113
164,2.5,2,11,63.0,1.0,11,-0.14387412035707614,barmaid,postHC,PMN,,0.7142857142857143,3.5,sub-115,offset,0.6312705185264349,6.0,1.791759469228055,1.252762968495368,-0.43732947812577905
165,0.0,2,12,63.0,1.0,12,0.5767508116402326,barmaid,postHC,PMN,,0.7142857142857143,3.0,sub-115,offset,-0.7636818755418062,3.0,1.0986122886681098,1.0986122886681098,0.28329545387152966
166,1.0,2,13,81.0,1.0,13,0.36767531989982594,barmaid,postHC,PMN,,0.7142857142857143,4.5,sub-115,offset,2.6616214215755463,5.5,1.7047480922384253,1.5040773967762742,0.07421996213112303
167,6.0,2,14,111.0,1.0,14,0.6866419503446917,barmaid,postHC,PMN,,0.7142857142857143,1.0,sub-115,offset,0.6662431508302689,7.0,1.9459101490553132,0.0,0.39318659257598876
168,3.0,0,1,48.0,1.0,1,-0.03575826202525722,barmaid,postHC,PMN,,0.7142857142857143,8.0,sub-117,offset,0.573863297700882,11.0,2.3978952727983707,2.0794415416798357,-0.004243505733471195
169,0.0,0,2,32.0,1.0,2,0.03389569930585511,barmaid,postHC,PMN,,0.7142857142857143,4.0,sub-117,offset,-0.8220254853367805,4.0,1.3862943611198906,1.3862943611198906,0.06541045559764114
170,7.0,0,3,51.0,1.0,3,0.06827159978178499,barmaid,postHC,PMN,,0.7142857142857143,11.5,sub-117,offset,0.6817459389567375,18.5,2.917770732084279,2.4423470353692043,0.099786356073571
171,0.0,0,4,24.0,1.0,4,-0.2320200295808584,barmaid,postHC,PMN,,0.7142857142857143,4.0,sub-117,offset,1.0995102673768997,4.0,1.3862943611198906,1.3862943611198906,-0.2005052732890724
172,2.5,0,5,91.0,1.0,5,0.40519876560515716,barmaid,postHC,PMN,,0.7142857142857143,3.0,sub-117,offset,1.7950570285320282,5.5,1.7047480922384253,1.0986122886681098,0.4367135218969432
173,2.0,0,6,41.0,1.0,6,-0.04732551633255388,barmaid,postHC,PMN,,0.7142857142857143,8.0,sub-117,offset,1.4642151296138763,10.0,2.302585092994046,2.0794415416798357,-0.015810760040767854
174,3.0,0,7,98.0,1.0,7,-0.23749403964641802,barmaid,postHC,PMN,,0.7142857142857143,10.0,sub-117,offset,-0.8379045417532325,13.0,2.5649493574615367,2.302585092994046,-0.205979283354632
178,3.5,0,11,63.0,1.0,11,0.15651286301925707,barmaid,postHC,PMN,,0.7142857142857143,6.5,sub-117,offset,1.1552296876907349,10.0,2.302585092994046,1.8718021769015913,0.1880276193110431
180,1.0,0,13,81.0,1.0,13,0.5735522693875287,barmaid,postHC,PMN,,0.7142857142857143,3.5,sub-117,offset,0.28678376972675323,4.5,1.5040773967762742,1.252762968495368,0.6050670256793147
181,8.0,0,14,111.0,1.0,14,0.15817415764586706,barmaid,postHC,PMN,,0.7142857142857143,10.0,sub-117,offset,1.1548193003982306,18.0,2.8903717578961645,2.302585092994046,0.18968891393765308
182,4.0,2,1,48.0,1.0,1,0.3900082737508264,barmaid,postHC,PMN,,0.5714285714285714,4.0,sub-118,offset,3.6834568977355957,8.0,2.0794415416798357,1.3862943611198906,0.2313340124945823
